"","id","nome","ticker","mkt_cap","classe","retorno_total","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes"
"19",135,"JBS","JBSS3",6920993.9392,"ON",472.50696673,0.73884616999,0.14001932985,8.1046050015,2992502,NA,91.593934265,20.961207623,NA,5.0738322936,0.29711017475,6.246428827,0.16034295014,0.29409807047,942564
"20",260,"Ultrapar","UGPA3",6804188.16,"ON",NA,8.5159643591,4.0835537357,7.4596815867,2115656,-15.929495835,78.321587334,46.886725612,310.97239387,6.5041039299,0.16707277252,31.695533806,0.15614047315,NA,437518
"21",217,"Rumo S.A.","RAIL3",6702784.24,"ON",NA,6.9108624476,1.4911980912,9.5640272494,1101951,20361.486794,196.26050773,41.471050425,701.85354431,NA,NA,NA,1.5054519675,NA,298732
"22",27,"Bradespar","BRAP4",6621176.52,"PN",254.62043757,27.935385537,9.6525265813,13.678331519,2230339,691.87911588,49.836579157,204.75604716,103.98651398,7.6301419486,0.11062767665,33.779874514,1.4514575016,0.061853692215,372303
"23",255,"Tran Paulist","TRPL4",6463296.7033,"PN",396.76679607,NA,14.5877057,NA,1252615,NA,20.880482422,155.27144968,NA,4.6865342029,0.2968182926,56.451533535,0.51677061003,0.36114599243,209074
"24",83,"Embraer","EMBR3",6375489.0376,"ON",162.70512665,8.2945996046,2.0840013824,10.907178353,2407056,-28.852221059,70.095557159,-135.27349664,67.557039398,5.3684961363,0.15019526251,32.173058424,0.40000556907,0.24010597516,1127639
"25",218,"Sabesp","SBSP3",6324727.36,"ON",818.38602118,0.64974408233,0.31605527067,4.6818937512,3519863,-92.371337316,71.901645542,18.732241249,21.676175255,10.895537998,0.52847374039,18.615967411,0.51163279581,0.43087003186,1157648
"26",58,"Copel","CPLE6",6277666.84,"PNB",394.30086323,14.687419319,8.2755692669,10.565620352,1985336,530.33943858,22.485358728,-1464.4474969,44.29104545,7.614903175,0.21825635422,28.677524402,1.6468732097,0.19957726122,752753
"27",30,"BRF SA","BRFS3",6142131.3593,"ON",166.37733909,1.6973762073,0.48805000772,7.5975239236,2758879,-71.140537273,130.52026676,13.175504868,303.72489032,14.473729157,0.040804797546,26.471515597,0.46348950887,0.19212966895,290740
"28",51,"Coelba","CEEB3",5826403.0273,"ON",154.31666104,54.313670856,19.235527054,25.38066833,1297753,420.47946653,98.290588859,85.907434862,2.3710012253,6.1074891712,NA,58.079512116,1.2423472758,0.1409663945,63485
"29",48,"Cesp","CESP6",4458341.5678,"PNB",284.87842204,-22.776047736,-13.783563543,-6.2280951952,1160921,-207.18863088,49.286251139,-47.586351596,-13.789565117,4.2750662521,0.1680405755,54.33903209,4.4831740811,0.21193544042,1119422
"30",145,"Light S/A","LIGT3",4457992.3871,"ON",115.57412623,36.518962294,10.298632472,11.770852114,1754739,137.1379917,77.412629864,76.765350773,21.385973287,3.3467264548,0.083928196878,100.83646433,7.0853278694,0.17186775894,1182482
