"","X","id","nome","ticker","mkt_cap","classe","retorno_total","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes","portfolio","retorno_an"
"128",39,11,"Ampla Energ","CBEE3",3059562.416,"ON",-0.086838776861,17.786309675,6.2709697376,9.9040094478,799053,375.57374185,98.534059727,51.935924989,8.699162649,8.9819427475,NA,49.321579272,1.3614484626,-0.00019305793291,405721,"largefolio",-0.00868727299151439
"129",40,40,"Ceee-D","CEED3",2877389.4627,"ON",-66.622162884,99.536979102,0.85085034223,-0.83497695209,264916,NA,806.01930036,-9.3064386556,NA,51.164102351,NA,0,0.70186628867,NA,0,"largefolio",-10.3921991344999
"130",41,29,"Braskem","BRKM5",2820661.79,"PNA",681.2503795,-38.609226671,-10.80790357,4.5773246517,2818733,-743.63290627,325.72167886,10.751418786,63.523033598,13.870990639,0.24389717368,41.196954043,2.6897558137,0.23062329561,0,"largefolio",22.8228085778182
"131",42,122,"Hypera","HYPE3",2645365.32,"ON",551.20646431,-30.010047814,-5.830387652,-2.1419987889,798056,NA,23.185677433,-17.628928619,NA,7.3973344477,0.13274052111,15.764922003,0.44096013435,0.22617462951,30047,"largefolio",20.6068209956326
"132",43,18,"B2W Digital","BTOW3",2622998,"ON",211.21589781,19.151680516,2.5085326173,20.957642246,915472,NA,708.33754835,37.456763553,NA,11.569579185,0.21791724079,0.32421588164,0.26076099267,0.095439699211,4270,"largefolio",12.0227364869194
"133",44,79,"Elektro","EKTR4",2363863.033,"PN",497.81455533,36.159490982,13.258429856,22.416026082,786206,-60.96471772,82.472131362,89.410422408,-15.001488551,4.7845238178,NA,98.167966894,1.4467173419,0.22101789876,81701,"largefolio",19.5794766841308
"134",45,157,"M.Diasbranco","MDIA3",2247114.92,"ON",573.14728855,22.392415516,9.0615152297,15.070266479,820285,326.63358369,77.314847792,33.607191024,56.40973392,13.245602223,0.2383284622,10.991092511,0.17165346883,0.27290719297,85583,"largefolio",21.0071437766865
"135",46,45,"Celpe","CEPE5",2218040.109,"PNA",66.217032598,38.682637016,13.256680037,15.899502906,789399,355.44607577,88.761425464,56.203571516,34.236775603,6.4364240485,NA,71.755920622,1.9802427707,0.082353614776,15468,"largefolio",5.21255143025361
"136",47,57,"Copasa","CSMG3",2159312.76,"ON",491.35831668,7.4139691823,4.1140773822,5.4222587127,1088788,NA,44.954676763,44.37401496,NA,14.122340772,0.25902845609,37.738712827,0.86708547064,0.20088903636,416646,"largefolio",19.4497020760722
"137",48,162,"Marfrig","MRFG3",2004362.655,"ON",37.572798364,-1.8890293843,-0.26941055832,19.116529956,1326972,NA,156.9810115,22.351279069,NA,4.3716887331,-0.13496642047,3.9653747765,0.68607869442,0.052832927307,108475,"largefolio",3.24125070894072
"138",49,110,"Gol","GOLL4",1989204.57,"PN",286.77698689,-51.311410407,-17.978271693,-1.8799545531,869313,-413.02433664,137.34544471,-6.8699405455,1163.7138465,8.1388313487,0.23565048479,4.3635398725,3.4689772857,0.060894843665,18399,"largefolio",14.4843341468442
"139",50,239,"Taesa","TAEE11",1931153.2459,"UNT N2",1413.1407317,13.585147571,5.7975373643,11.429933789,425717,NA,113.11400445,28.391921428,NA,6.2242270088,0.62970988074,85.746872812,0.024129992154,1.0721402931,2026,"largefolio",31.216343726251
"140",51,155,"Lojas Renner","LREN3",1905409.32,"ON",2665.5775011,27.867935663,10.419439357,34.754579727,1134425,NA,48.850796846,140.94392136,NA,12.193059732,0.69244232995,8.0557927136,0.046539919693,0.39545668416,51955,"largefolio",39.3729791475949
"141",52,212,"Rede Energia","REDE3",1670925.2,"ON",NA,10.770443659,2.4769685527,5.2801303202,1159838,200.20893787,177.75134106,15.775671933,94.442720323,2.2747305801,NA,6.1205984375,0.54810319313,NA,181511,"largefolio",NA
"142",53,193,"PDG Realt","PDGR3",1627933.45,"ON",-99.37593471,15.237252265,6.5906274804,10.072784099,433360,NA,52.689586503,38.097586471,NA,1456.411489,-0.47502025979,5618.9097118,61.497490302,-0.29307955534,68320,"largefolio",-39.8101857844539
"143",54,107,"Ger Paranap","GEPA4",1602631.31,"PN",NA,6.9492132873,4.4209782769,7.9819950157,424132,72.1036749,45.250010388,56.492515817,-11.316758543,8.0189802191,NA,107.80302347,0.37021547365,NA,26478,"largefolio",NA
"144",55,52,"Coelce","COCE5",1573493.3081,"PNA",458.47317831,39.805208778,12.170138845,17.795819949,619811,270.21410621,89.649340694,56.193378203,13.626595022,12.132444716,0.28256089501,42.554899682,1.5140223345,0.56035569878,165461,"largefolio",18.7682157183346
"145",56,43,"Celesc","CLSC4",1549531.6,"PN",177.1153341,18.383529902,6.5142356825,11.282054996,829204,NA,10.91466047,-299.99320269,NA,10.131877746,0.15587086308,30.687103526,1.6259488475,0.088892359577,527647,"largefolio",10.7301927247882
"146",57,41,"Ceee-Gt","EEEL4",1485591.0986,"PN",NA,40.634695738,6.9194999927,10.343376246,340035,192.93048804,87.702314499,60.414596694,-47.492349072,60.962769617,NA,14.562611406,9.416413282,NA,0,"largefolio",NA
"147",58,61,"Cosern","CSRN3",1435690.0027,"ON",449.34268952,41.391543684,15.964741996,16.008453094,293848,267.21833117,76.825896928,58.941386546,7.8992882327,5.2325813333,NA,61.970666712,0.31444260577,0.30653534983,6375,"largefolio",18.5725978111058
